target_pheno_group	phenotype	var.label	name_fixEffect_pThre	sex.group	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S8	allSexes	0.122879	0.133013328377818	0.00114657054331567	0.08176	0.0401812	0.615610268510969	0.000121353437526407	0.080017	-0.0937996	0.237578419036377	0.000647957698846261	0.0793965	-0.0486217	0.561460097865754	0.000184910052441775	0.0837195	-0.168559	0.0364418762871178	0.00211127382033866	0.0805216	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S8	females	0.141017	0.191891185285248	0.0015100397711374	0.107998	0.0640453	0.539644803091647	0.000308305169036791	0.104389	-0.13103	0.195548573523549	0.00126440488101476	0.101177	0.0246465	0.82295664329892	4.75128139656741e-05	0.110131	-0.152905	0.149739602945259	0.00173733690240458	0.106083	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S8	males	0.102161	0.405160805552745	0.000792530005986006	0.122662	0.0166363	0.891152461891898	2.08027027849332e-05	0.121532	-0.0634976	0.616655332810988	0.00029693357222942	0.126796	-0.127055	0.303736508870532	0.00126265227072984	0.123463	-0.19378	0.108904245718583	0.00279034930750918	0.120745	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q1	Cigarettes per day	S1	allSexes	-0.00568744	0.818792620724572	2.76962677293228e-05	0.0248223	0.0836921	0.000682143626569028	0.00604298305889748	0.0246036	0.00457283	0.850944288480738	1.85230247464485e-05	0.0243318	0.0292142	0.225185149943851	0.000738718889355113	0.0240802	0.0433211	0.0771028925755353	0.00163140091186863	0.0244946	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q1	Cigarettes per day	S1	females	0.0446228	0.157119272327747	0.00170490909893563	0.0315208	0.0947569	0.00214841979643017	0.00774647519488117	0.0308132	-0.0197304	0.519221459204377	0.000344836774486283	0.0306028	0.01987	0.520975992705862	0.000341733018158056	0.0309492	0.023191	0.458005439640028	0.000467520545839723	0.0312395	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q1	Cigarettes per day	S1	males	-0.094896	0.0143974196257336	0.00771051534741733	0.0386991	0.0606938	0.121612319086848	0.00317812595141657	0.0391683	0.0278761	0.46986916277291	0.000688344460772346	0.0385556	0.0391908	0.295042623787884	0.00132941160511452	0.0374044	0.0789289	0.0374998929669644	0.00541544126656244	0.037883	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q1	Cigarettes per day	S2	allSexes	-0.0175561	0.47827389073631	0.000259103911143145	0.0247546	0.0925376	0.000166561563400395	0.00736009367261376	0.0245351	0.021808	0.376543977997141	0.000420520771723832	0.0246567	0.0336579	0.167852490923718	0.000980330624286692	0.0243968	0.0773908	0.00188968705823823	0.00516600913230857	0.0248773	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q1	Cigarettes per day	S2	females	0.000465786	0.988236619986219	1.82385680806374e-07	0.0315859	0.102921	0.000917474041881606	0.00910447426713012	0.0309769	-0.0100836	0.745782140620747	8.99056520077774e-05	0.0310957	0.0247331	0.423883027159145	0.00052936551348917	0.0309179	0.0812847	0.0102481498821305	0.00569894035771455	0.0316138	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q1	Cigarettes per day	S2	males	-0.0426384	0.270562679030563	0.00152833893041947	0.0386752	0.0766771	0.047243076789688	0.00505333670619688	0.0385903	0.0564748	0.147948326401434	0.00282010435306019	0.0389989	0.0420885	0.280631826537645	0.00153294098006132	0.0389861	0.0816051	0.0358322350021088	0.00574395594235788	0.0388205	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q1	Cigarettes per day	S3	allSexes	-0.0424535	0.0844234681685926	0.00155355834557192	0.0245911	0.114995	2.35382961240935e-06	0.0113718612959553	0.0242953	0.00302855	0.90087387801183	7.95744739038171e-06	0.0243116	0.042729	0.0948890948745057	0.00157388545890669	0.0255726	0.109795	1.12698743949784e-05	0.0103089513670667	0.0249441	0.000714285714285714
